;TEXT
Tweet130;"Arlindo ChinagliaPT articulou com Carlos ManatoPSLES a anistia aos policiais do ES e O governador Renato Casagrande a concedeu Está prisioneiro do populismo que produziu
"
Tweet131;"Mas quem articulou a anistia para o ES foi Arlindo ChinagliaPT na Comissão de Relações Exteriores da Câmara Federal junto com o deputado Carlos ManatoPSLES
"
Tweet132;"esteve na linha de frente da comunicação e da logística do motim que parou a Polícia Militar do Espírito Santo” O jornal chegou aos nome nomes do exdeputado Capitão Assumção e do deputado federal Carlos Manato SD aliados de Bolsonaro no Espírito Santo 34
"
Tweet133;"Uma conversa transparente com Carlos Manato httpsyoutube8kKOcVoAxY via YouTube
"
Tweet134;"Lembrando também a greve da PM em 2017 foi incentivada por dois aliados do Presidente1 Carlos Manato que é agora deputado federal perdeu a eleição pra governador em 2018 pro Casagrande com quem a PM estava hoje negociando aumento de salário
"
Tweet135;"Sem Manato PSL tem oficialmente nova direção no ES httpsleiaaghqoiawCarlos Manato deixou a presidência do PSL para ajudar a fundar outros partidos afirma Amarildo Lovato
"
Tweet136;"O governo Casagrande não está ajudando os desabrigados das enchentes Precisou Carlos Manato e a Dra Soraya Manato buscarem ajuda no Governo Bolsonaro Esse cidadão que pede socorro num vídeo  por colchões às httpsfacebookcom1328774030posts10222418950405767…
"
Tweet137;"Carlos Manato e a Dra Soraya Manato estão ajudando as vítimas das enchentes em Iconha Vargem Alta e Alfredo Chaves httpsfacebookcom1328774030posts10222389799157004…
"
Tweet138;"e outra sem contar que uma criança prematura pode ter autismo tbm PL nº 544016 Autor Dep Carlos Manato – SDES  PL nº 638802 Autor Senador Luiz Pontes – PSDBCE PL nº 16932015 Autor Dep Aureo  SDRJ PL nº 78952014 Autor Dep Andreia Zito  PSDBRJ
"
Tweet139;"Quero agradecer a Deputada Federal Soraya Manato e meu querido futuro governador Dr Carlos Manato por ter destinado R 10000000 a Saúde de Conceição do Castelo a pedido nosso em 2018 foram repassados R httpsfacebookcomemersonrebuliposts2694821653935693…
"
Tweet140;"Não me venha com o Carlos Manato para presidir o partido aqui no ES Esse cara não presta
"
Tweet141;"A a 1 ano atrás recebi uma ligação do querido Gabriel Brasil em nome do deputado Dr Carlos Manato dizendo que haviam sido liberados através da uma emenda parlamentar o valor de R 17000000 cento e setenta mil httpsfacebookcomemersonrebuliposts2633904833360709…
"
Tweet142;"Hoje estivemos em Vitória com o futuro governador Dr Carlos Manato e traçamos diretrizes para as eleições de 2020 juntos com o presidente Jair Bolsonaro rumo a 2022 httpsfacebookcomemersonrebuliposts2611401055611087…
"
Tweet143;"Carlos Manato seria o melhor governador da história do Espírito Santo como foi o melhor parlamentar mas o capixaba preferiu um cara ligado ao Lula da mesma ideologia salvo pela mesma impunidade httpsfacebookcom1328774030posts10221819969951630…
"
Tweet144;"Carlos Manato sempre apoio Bolsonaro Em 2015 quando era um sonho Manato já sonhava com Bolsonaro chegar à Presidência da República httpsfacebookcom1328774030posts10221802886684559…
"
Tweet145;"Carlos Manato a Esperança de Mudança se fortalece a cada dia httpsvieirasociologoblogspotcom201911alivedocarlosmanatopslmostrouhtml… httpsvieirasociologoblogspotcom201911alivedocarlosmanatopslmostrouhtml…
"
Tweet146;"Tudo que Cabo Porto mais deseja Ele sabe que o PSB é um puxadinho do PDT na Serra Casagrande está borrando de medo do Carlos Manato que cresce no Estado todo Cabo Porto httpsportaltemponovocombrvereadorcaboportopodeserexpulsodopsbporapoiarbolsonaro…
"
Tweet147;"No dia 14 de março de 2018 dia do assassinato de Marielle Franco o então deputado Jair Bolsonaro já candidato à presidência da República almoçou na residência do deputado Carlos Manato em Brasilia httpsjornalggncombrnoticiadesaparecerampostagensdebolsonarododiadamortedemarielleporluisnassif…
"
Tweet148;"No dia 14 de março de 2018 dia do assassinato de Marielle Franco o então deputado Jair Bolsonaro já candidato à presidência da República almoçou na residência do deputado Carlos Manato em Brasilia httpsjornalggncombrnoticiadesaparecerampostagensdebolsonarododiadamortedemarielleporluisnassif…
"
