;TEXT
Tweet158;"Por muitos anos meu marido era apenas um pobre de direita que votava no PSDB e nunca brigamos por isso Graças a Deus ele odeia o Bolsonaro e qualquer um ligado a essa gente tanto quanto eu Existe muita diferença
"
Tweet159;"Eh Bolsonaro no 1o turno 
"
Tweet160;"
"
Tweet161;"Simmmmmmmm
"
Tweet162;"Bolsonaro tem que aprender a usar do mesmo veneno maldade jogo de cintura e molecagem que esses pseudos jornalistas travecos de militantes agem NUMA BOA Ele se sairia melhor com esses safados
"
Tweet163;"atacadas 
"
Tweet164;"tá fazendo campanha agora
"
Tweet165;"
"
Tweet166;"Parabéns  Amanda  Não arregou para o PR Mais uma vez ele não respondeu de onde veio o  mas a gente sabe Afinal você mesma disse a ele 
"
Tweet167;"o pior é que ele segue o bolsonaro vey mas a beleza dele ai que caralhk
"
Tweet168;" DATA POVO DE QUALIDADE QUEM FOR BOLSONARO SEGUE AI 22
"
Tweet169;"CNNBrasil Daniela Lima o único que vai mudar esse Brasil se chama Jair messias Bolsonaro  22
"
Tweet170;"Sempre enfatizou que Lula é do campo democrático E que Bolsonaro é genocida E sim diz que os dois tem o mesmo modelo econômicaApenas issoAgora se vc olhar a campanha lulista nas redes vai ver horrores por ai
"
Tweet171;"“ei bolsonaro vai tomar no cu”
"
Tweet172;"Continua a campanha O Pacheco é do partido 55 PSDQuem votar em candidatos cujo número começa com 55 estará concordando com a palhaçada que o Pacheco está fazendo na condução do Senado Federal Nesta semana da pátria é uma boa decisão não votar em candidatos do PSD 55não
"
Tweet173;"Ah genial Como se o simples fato de ter provas fosse o suficiente para tirar o presidente Esqueceu que para abrir um processo de impeachment é necessário que o presidente da câmara o aprove Como o Bolsonaro comprou o centrão o Lira não vai aprovar nada  tendo ou não provas
"
Tweet174;"Kkkkk bolsonaro na foto
"
Tweet175;"Não deixou mesmo Principalmente na compra imediata das vacinas
"
Tweet176;"PróseContras O Lularápio falando que o Bolsonaro tomou o 7 de setembro o verde amarelo pra ele O Bolsonaro não larápio Foram os vrasileiros que tomaram o 1 de setembro pra eles O choro é livre O larápio não junta meia dúzia de vermelhos na rua
"
Tweet177;"Bolsonaro dá um show e sabedoria inteligência verdadeiro político brasileiro
"
Tweet178;"Parabéns jairbolsonaro BolsonaroNoPrimeiroTurno
"
